Sample,Non_Zero_Bacteria_Count
SRS020233,69
SRS020261,8
SRS020263,14
SRS020328,53
SRS020334,72
SRS020336,32
SRS020340,68
SRS020349,2
SRS020386,11
SRS020856,64
SRS020858,45
SRS020862,40
SRS020868,4
SRS020869,56
SRS021473,58
SRS021477,86
SRS021483,1
SRS021484,45
SRS021496,70
SRS021948,56
SRS021954,63
SRS021960,69
SRS021969,2
SRS021986,39
SRS022006,7
SRS022071,57
SRS022077,73
SRS022079,27
SRS022083,72
SRS022092,1
SRS022129,6
SRS022137,43
SRS022143,77
SRS022145,42
SRS022149,95
SRS022158,2
SRS022524,55
SRS022530,68
SRS022532,36
SRS022536,84
SRS022545,2
SRS022602,104
SRS022609,56
SRS022621,80
SRS022625,79
SRS022645,2
SRS022713,43
SRS022719,83
SRS022721,55
SRS022725,84
SRS022734,3
SRS023212,24
SRS023346,26
SRS023352,74
SRS023354,29
SRS023358,109
SRS023468,25
SRS023526,66
SRS023534,8
SRS023538,41
SRS023557,47
SRS023583,34
SRS023591,50
SRS023595,127
SRS023604,23
SRS023617,85
SRS023829,15
SRS023835,88
SRS023837,41
SRS023841,59
SRS023847,5
SRS023850,5
SRS023914,50
SRS023926,80
SRS023930,27
SRS023938,79
SRS023958,62
SRS023964,98
SRS023970,5
SRS023971,28
SRS023987,41
SRS024009,28
SRS024015,74
SRS024017,49
SRS024021,60
SRS024064,3
SRS024068,2
SRS024075,34
SRS024081,70
SRS024087,93
SRS024132,59
SRS024138,69
SRS024140,67
SRS024144,75
SRS024265,37
SRS024277,67
SRS024281,40
SRS024289,66
SRS024301,2
SRS024310,2
SRS024318,105
SRS024331,54
SRS024347,73
SRS024355,82
SRS024375,60
SRS024377,17
SRS024381,67
SRS024388,30
SRS024424,12
SRS024428,3
SRS024435,55
SRS024441,73
SRS024447,101
SRS024470,63
SRS024482,27
SRS024549,23
SRS024557,30
SRS024561,94
SRS024567,0
SRS024580,74
SRS024596,7
SRS024598,6
SRS024620,6
SRS024625,37
SRS024637,70
SRS024641,2
SRS024649,89
SRS024655,7
SRS042131,60
SRS042284,24
SRS042428,2
SRS042457,33
SRS042628,56
SRS042643,68
SRS042858,1
SRS042910,57
SRS042984,84
SRS043001,28
SRS043018,92
SRS043239,112
SRS043411,41
SRS043646,42
SRS043663,57
SRS043676,37
SRS043701,42
SRS043755,69
SRS043772,58
SRS043803,23
SRS044366,43
SRS044373,64
SRS044474,10
SRS044486,62
SRS044626,2
SRS044662,55
SRS044742,2
SRS045004,46
SRS045049,60
SRS045127,96
SRS045197,90
SRS045254,85
SRS045262,59
SRS045313,72
SRS045606,9
SRS045645,48
SRS045713,35
SRS045715,106
SRS045978,54
SRS046344,2
SRS046623,59
SRS046686,15
SRS046688,4
SRS046973,15
SRS047014,52
SRS047044,43
SRS047100,59
SRS047113,101
SRS047210,63
SRS047219,67
SRS047225,9
SRS047254,2
SRS047265,60
SRS047335,5
SRS047634,108
SRS047708,0
SRS047824,61
SRS047844,0
SRS048164,55
SRS048411,66
SRS048536,4
SRS048719,33
SRS048791,90
SRS048870,39
SRS049147,83
SRS049164,53
SRS049237,4
SRS049268,116
SRS049283,24
SRS049318,128
SRS049389,78
SRS049712,45
SRS049744,1
SRS049900,31
SRS049959,59
SRS049995,52
SRS050007,19
SRS050025,11
SRS050029,36
SRS050184,3
SRS050244,81
SRS050299,29
SRS050422,63
SRS050484,4
SRS050628,72
SRS050669,70
SRS050752,50
SRS050925,46
SRS051031,56
SRS051116,33
SRS051244,98
SRS051378,69
SRS051505,6
SRS051600,1
SRS051613,4
SRS051791,55
SRS051882,47
SRS051930,85
SRS051941,87
SRS052027,41
SRS052227,82
SRS052330,1
SRS052590,0
SRS052604,79
SRS052620,3
SRS052668,60
SRS052697,59
SRS052756,1
SRS052874,57
SRS052876,76
SRS052988,5
SRS053214,45
SRS053335,38
SRS053398,51
SRS053437,5
SRS053584,58
SRS053603,72
SRS053630,25
SRS053854,47
SRS053917,68
SRS054061,6
SRS054430,80
SRS054569,57
SRS054590,18
SRS054653,55
SRS054687,69
SRS054776,77
SRS054956,44
SRS054962,5
SRS055118,19
SRS055298,4
SRS055378,108
SRS055401,86
SRS055426,99
SRS055450,66
SRS055495,56
SRS055982,40
SRS056157,24
SRS056210,0
SRS056259,45
SRS056323,49
SRS056519,35
SRS056622,64
SRS056695,2
SRS056796,7
SRS056892,66
SRS057022,120
SRS057083,2
SRS057205,86
SRS057355,60
SRS057478,35
SRS057539,69
SRS057692,74
SRS057717,26
SRS057791,67
SRS057807,2
SRS058053,113
SRS058105,27
SRS058182,12
SRS058186,23
SRS058213,6
SRS058221,5
SRS058336,50
SRS058723,32
SRS058770,48
SRS058808,95
SRS062427,24
SRS062520,2
SRS062540,73
SRS062544,70
SRS062713,8
SRS062752,1
SRS062761,74
SRS062878,74
SRS063035,11
SRS063040,62
SRS063178,0
SRS063193,79
SRS063215,83
SRS063272,49
SRS063287,55
SRS063288,66
SRS063351,51
SRS063417,1
SRS063478,52
SRS063603,116
SRS063932,96
SRS063985,44
SRS063999,88
SRS064219,6
SRS064276,57
SRS064329,86
SRS064376,1
SRS064423,69
SRS064449,89
SRS064493,30
SRS064557,27
SRS064645,17
SRS064704,2
SRS064774,70
SRS064809,52
SRS065099,81
SRS065133,10
SRS065142,1
SRS065179,1
SRS065278,70
SRS065310,61
SRS065335,57
SRS065347,2
SRS065431,10
SRS065504,47
SRS075398,29
SRS075404,68
SRS075406,53
SRS075410,43
SRS075419,5
SRS077730,35
SRS077736,52
SRS077738,22
SRS077751,1
SRS078176,51
SRS078182,85
SRS078197,4
